,open,high,low,close,volume
2020-04-15,530.0,536.0,505.1,509.95,832010
2020-04-16,505.0,512.9,496.95,500.45,346474
2020-04-17,513.0,513.0,498.4,502.25,312463
2020-04-20,506.65,507.0,487.25,490.4,487726
2020-04-21,480.0,503.9,479.0,500.85,384747
2020-04-22,512.55,516.0,492.3,501.25,366356
2020-04-23,503.4,507.1,491.15,495.65,512433
2020-04-24,494.05,499.0,484.75,494.35,194916
2020-04-27,499.5,502.0,491.7,494.55,344059
2020-04-28,497.0,497.0,484.05,485.7,1373752
2020-04-29,493.8,498.4,487.55,496.25,198076
2020-04-30,503.7,515.8,495.65,514.35,442838
2020-05-04,510.0,540.05,499.0,532.3,993994
2020-05-05,539.95,553.5,526.05,527.85,872750
2020-05-06,533.0,551.35,530.8,546.05,740330
2020-05-07,546.8,546.8,524.6,527.8,333186
2020-05-08,539.85,545.85,528.5,530.0,318385
2020-05-11,535.0,548.4,533.0,536.1,286213
2020-05-12,535.0,563.7,531.0,559.65,610196
2020-05-13,569.85,569.85,549.4,555.75,466869
2020-05-14,551.5,562.55,535.05,539.65,315583
2020-05-15,547.7,557.0,540.0,554.1,280902
2020-05-18,558.0,559.15,535.05,538.15,509886
2020-05-19,559.0,603.0,556.7,599.15,2149907
2020-05-20,604.0,611.7,588.65,594.05,1190308
2020-05-21,590.1,604.65,585.3,594.25,555275
2020-05-22,595.5,597.2,587.1,593.0,419120
2020-05-26,573.5,576.0,557.65,559.15,175888001
2020-05-27,561.05,565.4,554.0,563.0,697611
2020-05-28,565.5,567.9,556.2,562.7,443967
2020-05-29,557.0,564.0,544.0,552.4,4969325
2020-06-01,560.0,561.6,550.2,559.05,815472
2020-06-02,563.1,572.1,556.25,558.0,879877
2020-06-03,566.5,567.6,549.7,551.7,516738
2020-06-04,553.55,585.0,549.8,573.15,833432
2020-06-05,590.0,590.0,567.7,584.9,1541895
2020-06-08,589.95,593.7,579.55,584.75,854537
2020-06-09,580.0,591.75,566.0,567.6,470771
2020-06-10,570.05,576.0,563.3,567.25,483117
2020-06-11,571.95,573.7,546.75,551.6,916948
2020-06-12,544.0,562.0,540.0,559.9,649005
2020-06-15,557.95,563.7,549.15,550.85,449218
2020-06-16,556.0,559.3,537.0,544.8,607345
2020-06-17,547.8,565.4,541.75,563.5,479091
2020-06-18,561.6,572.85,558.15,560.8,776864
2020-06-19,563.0,577.95,561.35,571.45,338795
2020-06-22,576.0,587.9,570.4,580.55,600497
2020-06-23,582.2,584.55,574.75,578.45,273368
2020-06-24,584.9,584.9,555.0,557.45,361849
2020-06-25,550.05,563.5,550.0,559.3,533176
2020-06-26,560.0,566.3,557.75,560.3,379780
2020-06-29,560.3,568.8,551.2,567.25,281263
2020-06-30,573.0,576.95,557.85,559.65,498384
2020-07-01,574.0,574.0,558.15,559.8,364157
2020-07-02,565.7,566.7,557.5,558.5,220560
2020-07-03,560.75,582.95,560.75,581.1,1245414
2020-07-06,588.9,589.4,574.95,576.5,654901
2020-07-07,579.0,582.5,566.0,567.15,319915
2020-07-08,572.9,573.6,559.3,561.25,307478
2020-07-09,563.0,570.25,560.5,568.85,260482
2020-07-10,567.65,578.85,566.0,574.7,3291119
2020-07-13,575.0,589.1,570.0,586.75,511722
2020-07-14,586.0,596.6,578.7,589.1,1131015
2020-07-15,589.8,589.8,559.7,564.15,664647
2020-07-16,565.0,567.35,553.5,562.6,642398
2020-07-17,563.95,573.8,562.05,567.35,474300
2020-07-20,569.0,582.55,567.55,575.75,925773
2020-07-21,578.5,583.8,566.45,567.75,464099
2020-07-22,568.0,575.45,563.0,569.5,665420
2020-07-23,570.0,575.65,564.25,567.1,887192
2020-07-24,565.0,567.05,555.4,559.8,335935
2020-07-27,558.0,563.5,544.25,559.3,603032
2020-07-28,560.8,573.6,555.05,564.65,427936
2020-07-29,566.0,569.15,560.45,566.35,740878
2020-07-30,577.0,579.0,543.4,552.85,1998298
2020-07-31,551.1,559.0,546.45,554.85,538017
2020-08-03,551.55,556.05,546.5,547.25,313461
2020-08-04,548.0,553.05,545.0,548.8,309303
2020-08-05,550.2,560.3,546.6,558.85,350550
2020-08-06,562.5,562.5,553.0,555.5,327786
2020-08-07,553.5,563.0,552.0,560.6,303881
2020-08-10,562.5,565.05,555.0,558.35,734507
2020-08-11,560.8,560.8,550.3,551.25,533331
2020-08-12,551.25,560.8,545.65,548.55,860913
2020-08-13,537.9,548.15,523.95,535.65,1306318
2020-08-14,542.55,542.55,525.1,528.9,990874
2020-08-17,533.0,533.0,518.1,521.4,990036
2020-08-18,527.0,528.95,520.1,526.8,545413
2020-08-19,529.4,539.8,527.2,536.1,1101156
2020-08-20,530.05,533.55,523.1,525.5,1075418
2020-08-21,529.0,529.4,517.6,520.0,803677
2020-08-24,520.0,532.3,508.5,527.2,604905
2020-08-25,533.0,536.0,526.0,528.6,595806
2020-08-26,527.0,527.0,512.45,514.55,715760
2020-08-27,514.8,518.4,508.8,511.0,669162
2020-08-28,513.8,529.5,511.55,523.55,592830
2020-08-31,520.0,522.05,508.75,513.95,1339320
2020-09-01,517.0,555.05,514.05,546.75,3378729
2020-09-02,552.0,558.95,545.4,550.45,1232402
2020-09-03,550.8,552.8,535.7,538.15,404000
2020-09-04,530.1,537.3,519.6,523.1,663430
2020-09-07,526.35,527.1,510.2,515.2,400754
2020-09-08,516.8,516.8,494.0,497.9,1063016
2020-09-09,494.4,506.7,491.5,504.5,1034739
2020-09-10,508.8,508.8,491.3,497.55,1114591
2020-09-11,498.0,502.55,488.75,491.65,674202
2020-09-14,495.9,498.0,468.5,474.65,1918064
2020-09-15,474.65,487.5,470.05,485.7,1143057
2020-09-16,487.7,490.5,480.45,481.65,495165
2020-09-17,481.0,485.0,474.1,478.85,302229
2020-09-18,483.0,497.85,475.6,496.7,1223361
2020-09-21,496.4,496.4,461.35,467.85,1040566
2020-09-22,467.6,478.35,460.6,471.05,786535
2020-09-23,470.0,470.0,423.95,433.9,2602225
